date,dash
2017-03-05,15
2017-03-12,28
2017-03-19,19
2017-03-26,13
2017-04-02,7
2017-04-09,12
2017-04-16,10
2017-04-23,9
2017-04-30,13
2017-05-07,19
2017-05-14,9
2017-05-21,12
2017-05-28,11
2017-06-04,18
2017-06-11,25
2017-06-18,28
2017-06-25,20
2017-07-02,20
2017-07-09,13
2017-07-16,17
2017-07-23,21
2017-07-30,11
2017-08-06,16
2017-08-13,25
2017-08-20,26
2017-08-27,26
2017-09-03,23
2017-09-10,12
2017-09-17,18
2017-09-24,13
2017-10-01,13
2017-10-08,16
2017-10-15,17
2017-10-22,14
2017-10-29,13
2017-11-05,23
2017-11-12,40
2017-11-19,47
2017-11-26,74
2017-12-03,45
2017-12-10,73
2017-12-17,100
2017-12-24,61
2017-12-31,61
2018-01-07,50
2018-01-14,44
2018-01-21,29
2018-01-28,22
2018-02-04,21
2018-02-11,25
2018-02-18,19
2018-02-25,18
2018-03-04,12
2018-03-11,10
2018-03-18,11
2018-03-25,14
2018-04-01,16
2018-04-08,7
2018-04-15,8
2018-04-22,9
2018-04-29,8
2018-05-06,7
2018-05-13,10
2018-05-20,7
2018-05-27,5
2018-06-03,9
2018-06-10,6
2018-06-17,7
2018-06-24,6
2018-07-01,9
2018-07-08,5
2018-07-15,9
2018-07-22,11
2018-07-29,3
2018-08-05,10
2018-08-12,4
2018-08-19,7
2018-08-26,9
2018-09-02,9
2018-09-09,6
2018-09-16,6
2018-09-23,7
2018-09-30,4
2018-10-07,6
2018-10-14,5
2018-10-21,8
2018-10-28,5
2018-11-04,7
2018-11-11,6
2018-11-18,4
2018-11-25,4
2018-12-02,7
2018-12-09,8
2018-12-16,8
2018-12-23,7
2018-12-30,2
2019-01-06,6
2019-01-13,5
2019-01-20,4
2019-01-27,5
2019-02-03,5
2019-02-10,3
2019-02-17,6
2019-02-24,5
2019-03-03,6
2019-03-10,9
2019-03-17,5
2019-03-24,5
2019-03-31,4
2019-04-07,3
2019-04-14,3
2019-04-21,5
2019-04-28,5
2019-05-05,4
2019-05-12,4
2019-05-19,5
2019-05-26,5
2019-06-02,6
2019-06-09,7
2019-06-16,5
2019-06-23,5
2019-06-30,5
2019-07-07,5
2019-07-14,2
2019-07-21,4
2019-07-28,3
2019-08-04,5
2019-08-11,6
2019-08-18,6
2019-08-25,5
2019-09-01,3
2019-09-08,4
2019-09-15,6
2019-09-22,4
2019-09-29,4
2019-10-06,3
2019-10-13,2
2019-10-20,7
2019-10-27,4
2019-11-03,3
2019-11-10,3
2019-11-17,3
2019-11-24,4
2019-12-01,5
2019-12-08,3
2019-12-15,6
2019-12-22,4
2019-12-29,6
2020-01-05,5
2020-01-12,16
2020-01-19,7
2020-01-26,8
2020-02-02,6
2020-02-09,4
2020-02-16,8
2020-02-23,3
2020-03-01,4
2020-03-08,6
2020-03-15,8
2020-03-22,5
2020-03-29,8
2020-04-05,8
2020-04-12,6
2020-04-19,7
2020-04-26,10
2020-05-03,5
2020-05-10,5
2020-05-17,5
2020-05-24,4
2020-05-31,7
2020-06-07,6
2020-06-14,5
2020-06-21,5
2020-06-28,5
2020-07-05,6
2020-07-12,6
2020-07-19,5
2020-07-26,7
2020-08-02,11
2020-08-09,9
2020-08-16,7
2020-08-23,5
2020-08-30,3
2020-09-06,5
2020-09-13,7
2020-09-20,6
2020-09-27,4
2020-10-04,4
2020-10-11,4
2020-10-18,7
2020-10-25,6
2020-11-01,6
2020-11-08,5
2020-11-15,6
2020-11-22,6
2020-11-29,7
2020-12-06,11
2020-12-13,10
2020-12-20,15
2020-12-27,17
2021-01-03,23
2021-01-10,32
2021-01-17,11
2021-01-24,17
2021-01-31,21
2021-02-07,42
2021-02-14,66
2021-02-21,37
2021-02-28,23
2021-03-07,33
2021-03-14,26
2021-03-21,23
2021-03-28,27
