date,ripple
2015-01-25,2
2015-02-01,2
2015-02-08,2
2015-02-15,1
2015-02-22,2
2015-03-01,2
2015-03-08,2
2015-03-15,2
2015-03-22,2
2015-03-29,2
2015-04-05,2
2015-04-12,2
2015-04-19,2
2015-04-26,2
2015-05-03,2
2015-05-10,2
2015-05-17,2
2015-05-24,2
2015-05-31,2
2015-06-07,1
2015-06-14,2
2015-06-21,2
2015-06-28,2
2015-07-05,2
2015-07-12,2
2015-07-19,2
2015-07-26,1
2015-08-02,2
2015-08-09,2
2015-08-16,2
2015-08-23,1
2015-08-30,2
2015-09-06,2
2015-09-13,2
2015-09-20,2
2015-09-27,2
2015-10-04,2
2015-10-11,2
2015-10-18,2
2015-10-25,2
2015-11-01,2
2015-11-08,2
2015-11-15,2
2015-11-22,2
2015-11-29,2
2015-12-06,2
2015-12-13,2
2015-12-20,2
2015-12-27,2
2016-01-03,2
2016-01-10,1
2016-01-17,2
2016-01-24,2
2016-01-31,2
2016-02-07,2
2016-02-14,2
2016-02-21,2
2016-02-28,2
2016-03-06,2
2016-03-13,2
2016-03-20,2
2016-03-27,2
2016-04-03,2
2016-04-10,2
2016-04-17,2
2016-04-24,2
2016-05-01,2
2016-05-08,2
2016-05-15,2
2016-05-22,2
2016-05-29,2
2016-06-05,2
2016-06-12,2
2016-06-19,2
2016-06-26,2
2016-07-03,2
2016-07-10,2
2016-07-17,2
2016-07-24,2
2016-07-31,2
2016-08-07,2
2016-08-14,2
2016-08-21,2
2016-08-28,2
2016-09-04,2
2016-09-11,2
2016-09-18,2
2016-09-25,2
2016-10-02,2
2016-10-09,2
2016-10-16,2
2016-10-23,2
2016-10-30,2
2016-11-06,2
2016-11-13,2
2016-11-20,2
2016-11-27,2
2016-12-04,2
2016-12-11,1
2016-12-18,2
2016-12-25,2
2017-01-01,2
2017-01-08,2
2017-01-15,2
2017-01-22,2
2017-01-29,2
2017-02-05,2
2017-02-12,2
2017-02-19,2
2017-02-26,2
2017-03-05,2
2017-03-12,2
2017-03-19,2
2017-03-26,2
2017-04-02,3
2017-04-09,2
2017-04-16,2
2017-04-23,2
2017-04-30,3
2017-05-07,5
2017-05-14,7
2017-05-21,7
2017-05-28,5
2017-06-04,5
2017-06-11,5
2017-06-18,5
2017-06-25,4
2017-07-02,4
2017-07-09,4
2017-07-16,4
2017-07-23,4
2017-07-30,4
2017-08-06,4
2017-08-13,5
2017-08-20,8
2017-08-27,7
2017-09-03,5
2017-09-10,5
2017-09-17,4
2017-09-24,4
2017-10-01,5
2017-10-08,6
2017-10-15,8
2017-10-22,5
2017-10-29,5
2017-11-05,6
2017-11-12,8
2017-11-19,8
2017-11-26,13
2017-12-03,15
2017-12-10,54
2017-12-17,61
2017-12-24,71
2017-12-31,100
2018-01-07,72
2018-01-14,46
2018-01-21,25
2018-01-28,23
2018-02-04,21
2018-02-11,17
2018-02-18,13
2018-02-25,11
2018-03-04,12
2018-03-11,9
2018-03-18,9
2018-03-25,9
2018-04-01,8
2018-04-08,8
2018-04-15,10
2018-04-22,10
2018-04-29,8
2018-05-06,7
2018-05-13,6
2018-05-20,7
2018-05-27,6
2018-06-03,6
2018-06-10,6
2018-06-17,5
2018-06-24,6
2018-07-01,5
2018-07-08,4
2018-07-15,5
2018-07-22,5
2018-07-29,5
2018-08-05,5
2018-08-12,5
2018-08-19,6
2018-08-26,5
2018-09-02,5
2018-09-09,5
2018-09-16,10
2018-09-23,9
2018-09-30,8
2018-10-07,6
2018-10-14,6
2018-10-21,5
2018-10-28,5
2018-11-04,6
2018-11-11,6
2018-11-18,6
2018-11-25,6
2018-12-02,5
2018-12-09,5
2018-12-16,5
2018-12-23,5
2018-12-30,5
2019-01-06,4
2019-01-13,4
2019-01-20,4
2019-01-27,4
2019-02-03,4
2019-02-10,4
2019-02-17,4
2019-02-24,5
2019-03-03,4
2019-03-10,4
2019-03-17,4
2019-03-24,3
2019-03-31,5
2019-04-07,4
2019-04-14,4
2019-04-21,4
2019-04-28,4
2019-05-05,4
2019-05-12,6
2019-05-19,5
2019-05-26,5
2019-06-02,5
2019-06-09,4
2019-06-16,6
2019-06-23,6
2019-06-30,4
2019-07-07,5
2019-07-14,4
2019-07-21,4
2019-07-28,4
2019-08-04,4
2019-08-11,4
2019-08-18,4
2019-08-25,4
2019-09-01,4
2019-09-08,4
2019-09-15,5
2019-09-22,4
2019-09-29,4
2019-10-06,4
2019-10-13,4
2019-10-20,4
2019-10-27,4
2019-11-03,4
2019-11-10,3
2019-11-17,3
2019-11-24,3
2019-12-01,4
2019-12-08,3
2019-12-15,4
2019-12-22,3
2019-12-29,3
2020-01-05,4
2020-01-12,4
2020-01-19,4
2020-01-26,3
2020-02-02,4
2020-02-09,5
2020-02-16,4
2020-02-23,4
2020-03-01,3
2020-03-08,4
2020-03-15,3
2020-03-22,3
2020-03-29,3
2020-04-05,3
2020-04-12,3
2020-04-19,3
2020-04-26,4
2020-05-03,4
2020-05-10,4
2020-05-17,4
2020-05-24,3
2020-05-31,3
2020-06-07,3
2020-06-14,3
2020-06-21,3
2020-06-28,3
2020-07-05,3
2020-07-12,3
2020-07-19,3
2020-07-26,4
2020-08-02,5
2020-08-09,4
2020-08-16,4
2020-08-23,4
2020-08-30,4
2020-09-06,3
2020-09-13,3
2020-09-20,3
2020-09-27,3
2020-10-04,3
2020-10-11,3
2020-10-18,3
2020-10-25,3
2020-11-01,3
2020-11-08,3
2020-11-15,5
2020-11-22,10
2020-11-29,7
2020-12-06,5
2020-12-13,6
2020-12-20,11
2020-12-27,11

